,WHO Region,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,CountryNum,isMarch
37,Americas,2020-03-07,12.82857142857143,0.4857142857142857,0.22857142857142856,12.114285714285714,3.6,0.08571428571428572,0.0,6580,1.0
38,Americas,2020-03-08,17.314285714285713,0.6285714285714286,0.22857142857142856,16.457142857142856,4.485714285714286,0.14285714285714285,0.0,6580,1.0
39,Americas,2020-03-09,19.942857142857143,0.6857142857142857,0.22857142857142856,19.02857142857143,2.6285714285714286,0.05714285714285714,0.0,6580,1.0
40,Americas,2020-03-10,26.142857142857142,0.8571428571428571,0.34285714285714286,24.942857142857143,6.2,0.17142857142857143,0.11428571428571428,6580,1.0
41,Americas,2020-03-11,39.714285714285715,1.0285714285714285,0.34285714285714286,38.34285714285714,13.571428571428571,0.17142857142857143,0.0,6580,1.0
42,Americas,2020-03-12,54.0,1.3428571428571427,0.45714285714285713,52.2,14.285714285714286,0.3142857142857143,0.11428571428571428,6580,1.0
43,Americas,2020-03-13,78.65714285714286,1.6285714285714286,0.45714285714285713,76.57142857142857,24.65714285714286,0.2857142857142857,0.0,6580,1.0
44,Americas,2020-03-14,102.48571428571428,1.8571428571428572,0.4857142857142857,100.14285714285714,23.82857142857143,0.22857142857142856,0.02857142857142857,6580,1.0
45,Americas,2020-03-15,109.37142857142857,2.2,0.4857142857142857,106.68571428571428,6.885714285714286,0.34285714285714286,0.0,6580,1.0
46,Americas,2020-03-16,162.14285714285714,3.085714285714286,0.7142857142857143,158.34285714285716,52.77142857142857,0.8857142857142857,0.22857142857142856,6580,1.0
47,Americas,2020-03-17,224.45714285714286,4.142857142857143,0.8571428571428571,219.45714285714286,62.31428571428572,1.0571428571428572,0.14285714285714285,6580,1.0
48,Americas,2020-03-18,317.4,5.942857142857143,3.3714285714285714,308.0857142857143,92.94285714285714,1.8,2.5142857142857142,6580,1.0
49,Americas,2020-03-19,488.14285714285717,8.428571428571429,3.8285714285714287,475.8857142857143,170.74285714285713,2.4857142857142858,0.45714285714285713,6580,1.0
50,Americas,2020-03-20,666.8,11.6,4.742857142857143,650.4571428571429,178.65714285714284,3.1714285714285713,0.9142857142857143,6580,1.0
51,Americas,2020-03-21,884.6857142857143,14.8,5.742857142857143,864.1428571428571,217.88571428571427,3.2,1.0,6580,1.0
52,Americas,2020-03-22,1158.3428571428572,19.65714285714286,6.3428571428571425,1132.3428571428572,273.65714285714284,4.857142857142857,0.6,6580,1.0
53,Americas,2020-03-23,1492.4285714285713,25.542857142857144,6.3428571428571425,1460.5428571428572,334.0857142857143,5.885714285714286,0.0,6580,1.0
54,Americas,2020-03-24,1833.7428571428572,33.2,13.085714285714285,1787.4571428571428,341.74285714285713,7.6571428571428575,6.742857142857143,6580,1.0
55,Americas,2020-03-25,2220.542857142857,43.05714285714286,13.771428571428572,2163.714285714286,386.8,9.857142857142858,0.6857142857142857,6580,1.0
56,Americas,2020-03-26,2801.8285714285716,56.0,23.742857142857144,2722.0857142857144,581.2857142857143,12.942857142857143,9.971428571428572,6580,1.0
57,Americas,2020-03-27,3385.285714285714,73.48571428571428,30.742857142857144,3281.057142857143,583.4571428571429,17.485714285714284,7.0,6580,1.0
58,Americas,2020-03-28,4028.885714285714,93.6,37.57142857142857,3897.714285714286,643.6,20.114285714285714,6.828571428571428,6580,1.0
59,Americas,2020-03-29,4639.085714285714,113.42857142857143,83.57142857142857,4442.085714285714,610.2,19.82857142857143,46.0,6580,1.0
